Tid	Distance	Mellemtid	Mellemtid, distance	Mellemtid, tempo	Gns. puls	Stign. ændr.
0:05:47,93	1,12	5:47,93	1,12	5:10,93	140 (63%)	-4
0:10:47,93	2,21	5:00,00	1,09	4:35,30	164 (78%)	+8
0:11:17,93	2,34	0:30,00	0,13	3:44,37	167 (80%)	+0
0:11:47,93	2,44	0:30,00	0,10	5:05,16	168 (80%)	+0
0:12:17,93	2,57	0:30,00	0,13	3:54,06	168 (80%)	0
0:12:47,93	2,66	0:30,00	0,09	5:23,56	166 (79%)	0
0:13:17,93	2,80	0:30,00	0,14	3:41,40	164 (78%)	-1
0:13:47,93	2,91	0:30,00	0,11	4:22,63	166 (79%)	-1
0:14:17,93	3,04	0:30,00	0,13	3:45,63	166 (79%)	0
0:14:47,93	3,14	0:30,00	0,09	5:25,87	169 (81%)	+0
0:15:17,93	3,26	0:30,00	0,13	3:57,83	170 (82%)	0
0:15:47,93	3,37	0:30,00	0,10	4:52,03	170 (82%)	0
0:16:17,93	3,49	0:30,00	0,13	3:57,72	168 (80%)	0
0:16:47,93	3,60	0:30,00	0,11	4:38,65	171 (82%)	-1
0:17:17,93	3,74	0:30,00	0,14	3:34,75	170 (82%)	-1
0:17:47,93	3,83	0:30,00	0,09	5:17,02	172 (83%)	-1
0:18:17,93	3,97	0:30,00	0,14	3:36,73	171 (82%)	-1
0:18:47,93	4,06	0:30,00	0,09	5:26,09	171 (83%)	-1
0:19:17,93	4,21	0:30,00	0,14	3:31,92	171 (82%)	-2
0:19:47,93	4,31	0:30,00	0,10	4:59,19	170 (82%)	-2
0:20:17,93	4,44	0:30,00	0,13	3:47,22	171 (83%)	+1
0:20:47,93	4,53	0:30,00	0,09	5:34,45	176 (86%)	+1
0:21:17,93	4,64	0:30,00	0,12	4:20,03	174 (84%)	0
0:21:47,93	4,74	0:30,00	0,09	5:20,65	173 (83%)	0
0:22:17,93	4,88	0:30,00	0,15	3:25,85	172 (83%)	0
0:22:47,93	4,98	0:30,00	0,10	4:59,79	175 (85%)	+0
0:23:17,93	5,12	0:30,00	0,14	3:41,96	175 (85%)	+1
0:23:47,93	5,21	0:30,00	0,09	5:24,11	176 (86%)	+1
0:24:17,93	5,34	0:30,00	0,13	3:43,63	175 (85%)	+0
0:24:47,93	5,44	0:30,00	0,10	5:13,71	177 (86%)	+0
0:25:17,93	5,57	0:30,00	0,13	3:53,05	175 (85%)	0
0:25:47,93	5,67	0:30,00	0,10	4:58,00	176 (85%)	-1
0:26:17,93	5,81	0:30,00	0,14	3:38,68	175 (85%)	0
0:26:47,93	5,89	0:30,00	0,09	5:40,18	177 (86%)	+0
0:27:17,93	6,03	0:30,00	0,14	3:42,04	176 (85%)	+0
0:27:47,93	6,12	0:30,00	0,09	5:31,27	176 (86%)	+0
0:28:17,93	6,25	0:30,00	0,13	3:56,93	174 (84%)	0
0:28:47,93	6,34	0:30,00	0,09	5:22,13	175 (85%)	-1
0:29:17,93	6,46	0:30,00	0,12	4:04,02	174 (85%)	-1
0:29:47,93	6,55	0:30,00	0,09	5:47,54	175 (85%)	-1
0:30:17,93	6,67	0:30,00	0,12	4:14,04	175 (85%)	-1
0:30:47,93	6,78	0:30,00	0,11	4:30,15	175 (85%)	-1
0:33:48,26	6,89	3:00,33	0,11	26:46,82	132 (58%)	0
0:34:48,26	7,13	1:00,00	0,24	4:09,76	162 (77%)	+1
0:35:48,26	7,33	1:00,00	0,20	4:59,13	166 (79%)	+1
0:36:48,26	7,59	1:00,00	0,26	3:54,60	169 (81%)	+0
0:37:48,26	7,76	1:00,00	0,17	5:50,82	165 (79%)	0
0:38:48,26	8,01	1:00,00	0,25	3:55,80	169 (81%)	+1
0:39:48,26	8,18	1:00,00	0,17	5:53,67	168 (81%)	+0
0:40:48,26	8,45	1:00,00	0,26	3:47,94	171 (82%)	-1
0:41:48,26	8,62	1:00,00	0,17	5:47,60	168 (80%)	-1
0:42:48,26	8,88	1:00,00	0,26	3:53,24	171 (83%)	+0
0:43:48,26	9,04	1:00,00	0,17	5:56,84	167 (80%)	+0
0:48:48,26	10,24	5:00,00	1,20	4:10,31	177 (86%)	+7
1:01:01,15	12,71	12:12,89	2,46	4:57,45	166 (79%)	-9
